"PLOT","REP","INSTN","ITW","DATESP","DORPD","NSP","LGLNSP","LGLATSP1","LGLATSP2","LGLATSP3","LGLATSP4","LGLATSP5","LGLATSP6","AVLGLATSP","THASP","THLSP1","THLSP2","AVTHSP","FTW","PW_SPT"
"175","5","CIP308328.30","28.5","2012-02-26","102.0","3.0","13.78","10.38","12.37","","","","","11.375","5.23","2.83","4.54","3.685","25.9","9.122807017543865"
"176","1","CIP308328.44","14.9","2012-02-15","91.0","1.0","2.4","","","","","","","","3.0","","","","13.9","6.7114093959731544"
"177","2","CIP308328.44","17.5","2012-02-15","91.0","1.0","2.0","","","","","","","","3.4","","","","17.0","2.857142857142857"
"178","3","CIP308328.44","15.3","2012-02-15","91.0","1.0","1.99","","","","","","","","2.3","","","","15.0","1.9607843137254948"
"179","4","CIP308328.44","30.0","2012-02-15","91.0","1.0","2.1","","","","","","","","1.5","","","","28.0","6.666666666666667"
"180","5","CIP308328.44","25.8","2012-03-15","120.0","1.0","2.0","","","","","","","","1.2","","","","23.0","10.852713178294577"
"181","2","CIP308328.98","10.6","2012-03-09","114.0","1.0","2.3","","","","","","","","2.0","","","","10.2","3.7735849056603805"
"182","3","CIP308328.98","9.4","2012-03-09","114.0","1.0","2.5","","","","","","","","1.5","","","","9.1","3.191489361702135"
"183","5","CIP308328.98","7.6","2012-02-09","85.0","1.0","2.4","","","","","","","","2.0","","","","7.3","3.947368421052629"
"184","1","CIP308328.113","11.0","2012-02-15","91.0","5.0","3.8","3.6","3.5","3.5","3.5","","","3.525","2.5","2.5","2.0","2.25","8.0","27.27272727272727"
"185","2","CIP308328.113","10.8","2012-02-15","91.0","5.0","3.5","3.0","3.0","3.0","3.0","","","3.0","2.4","2.0","2.0","2.0","7.8","27.777777777777786"
"186","3","CIP308328.113","14.3","2012-02-15","91.0","5.0","4.1","4.0","3.5","3.4","3.0","","","3.475","2.5","2.0","2.0","2.0","11.0","23.07692307692308"
"187","4","CIP308328.113","12.6","2012-02-15","91.0","5.0","5.0","3.5","3.4","3.3","2.5","","","3.175","2.3","2.0","2.0","2.0","9.8","22.222222222222214"
"188","5","CIP308328.113","16.3","2012-02-15","91.0","5.0","3.5","3.0","2.8","2.5","2.5","","","2.7","2.0","2.0","2.0","2.0","13.0","20.245398773006137"
"189","1","CIP308328.43","15.1","2012-02-13","89.0","1.0","3.2","","","","","","","","3.5","","","","14.6","3.3112582781456954"
"190","2","CIP308328.43","33.3","2012-02-13","89.0","1.0","3.5","","","","","","","","2.6","","","","32.9","1.201201201201197"
"191","3","CIP308328.43","11.2","2012-02-13","89.0","1.0","3.4","","","","","","","","2.8","","","","10.8","3.5714285714285587"
"192","4","CIP308328.43","20.8","2012-02-13","89.0","1.0","3.3","","","","","","","","2.1","","","","20.5","1.4423076923076956"
"193","5","CIP308328.43","15.3","2012-02-13","89.0","1.0","3.0","","","","","","","","2.0","","","","15.0","1.9607843137254948"
"194","1","CIP308328.47","20.4","2012-02-27","103.0","1.0","5.72","","","","","","","","2.89","","","","18.0","11.764705882352935"
"195","2","CIP308328.47","10.7","2012-02-27","103.0","1.0","4.11","","","","","","","","2.57","","","","9.2","14.018691588785048"
"196","3","CIP308328.47","13.1","2012-02-27","103.0","1.0","5.21","","","","","","","","2.34","","","","11.5","12.213740458015266"
"197","4","CIP308328.47","8.9","2012-02-27","103.0","1.0","5.1","","","","","","","","2.89","","","","7.3","17.977528089887645"
"198","5","CIP308328.47","9.8","2012-01-27","72.0","1.0","3.67","","","","","","","","2.68","","","","6.9","29.591836734693878"
"199","1","CIP308328.68","47.3","2012-01-27","72.0","2.0","2.5","2.38","","","","","","2.38","1.25","1.46","","1.46","44.16","6.638477801268501"
"200","2","CIP308328.68","54.3","2012-01-27","72.0","3.0","","4.74","1.5","2.32","","","","2.8533333333333335","","3.67","3.32","3.495","48.57","10.552486187845298"
"201","3","CIP308328.68","46.7","2012-01-27","72.0","1.0","3.94","","","","","","","","1.26","","","","43.56","6.723768736616703"
"202","4","CIP308328.68","39.5","2012-01-27","72.0","1.0","3.98","","","","","","","","2.04","","","","37.3","5.569620253164564"
"203","5","CIP308328.68","51.2","2012-01-27","72.0","1.0","3.14","","","","","","","","1.46","","","","47.27","7.675781249999999"
"204","1","CIP308328.59","41.0","2012-01-27","72.0","4.0","8.12","7.55","3.47","2.61","","","","4.543333333333333","1.93","4.56","4.17","4.365","38.66","5.70731707317074"
"205","2","CIP308328.59","35.4","2012-01-27","72.0","2.0","5.36","5.36","","","","","","5.36","4.38","1.4","","1.4","33.74","4.689265536723155"
"206","3","CIP308328.59","28.4","2012-01-27","72.0","1.0","5.57","","","","","","","","3.69","","","","27.13","4.471830985915492"
"207","4","CIP308328.59","29.1","2012-01-27","72.0","2.0","4.48","4.19","","","","","","4.19","2.19","2.59","","2.59","27.48","5.567010309278354"
"208","5","CIP308328.59","39.1","2012-01-27","72.0","1.0","4.61","","","","","","","","2.84","","","","36.39","6.9309462915601046"
"209","1","CIP308328.143","32.3","2012-01-26","71.0","4.0","8.4","7.5","6.5","5.4","","","","6.466666666666667","2.5","2.6","2.8","2.7","25.0","22.600619195046434"
"210","2","CIP308328.143","29.6","2012-01-26","71.0","1.0","7.5","","","","","","","","2.5","","","","24.76","16.35135135135135"
"211","3","CIP308328.143","30.1","2012-01-26","71.0","1.0","6.39","","","","","","","","3.2","","","","21.31","29.20265780730898"
"212","4","CIP308328.143","16.6","2012-01-26","71.0","1.0","5.48","","","","","","","","1.9","","","","11.0","33.734939759036145"
"213","5","CIP308328.143","22.4","2012-01-26","71.0","2.0","5.69","5.48","","","","","","5.48","2.4","2.5","","2.5","15.34","31.517857142857142"
"214","2","CIP308328.158","13.2","2012-01-27","72.0","1.0","4.09","","","","","","","","1.98","","","","12.11","8.257575757575756"
"215","3","CIP308328.158","11.0","2012-01-27","72.0","2.0","4.4","2.66","","","","","","2.66","2.29","0.72","","0.72","9.81","10.818181818181815"
"216","4","CIP308328.158","12.7","2012-01-27","72.0","1.0","3.19","","","","","","","","1.66","","","","11.7","7.874015748031496"
"217","5","CIP308328.158","20.1","2012-03-27","132.0","1.0","5.19","","","","","","","","2.14","","","","18.96","5.671641791044778"
"218","1","CIP308328.3","6.7","2012-03-09","114.0","1.0","2.3","","","","","","","","2.0","","","","5.0","25.37313432835821"
"219","2","CIP308328.3","7.0","2012-03-09","114.0","2.0","2.1","2.0","","","","","","2.0","2.0","2.4","","2.4","6.0","14.285714285714285"
"220","3","CIP308328.3","11.2","2012-03-09","114.0","1.0","2.2","","","","","","","","2.0","","","","10.8","3.5714285714285587"
"221","4","CIP308328.3","7.6","2012-01-09","54.0","1.0","2.3","","","","","","","","2.0","","","","7.3","3.947368421052629"
"222","1","CIP308328.144","6.1","2012-01-26","71.0","1.0","2.6","","","","","","","","2.1","","","","5.9","3.2786885245901525"
"223","2","CIP308328.144","6.7","2012-01-26","71.0","1.0","2.8","","","","","","","","2.6","","","","6.5","2.9850746268656745"
"224","3","CIP308328.144","6.8","2012-01-26","71.0","1.0","2.5","","","","","","","","2.3","","","","6.3","7.352941176470589"
"225","4","CIP308328.144","8.3","2012-01-26","71.0","1.0","2.6","","","","","","","","2.4","","","","7.9","4.819277108433739"
"226","5","CIP308328.144","7.3","2012-03-26","131.0","1.0","2.4","","","","","","","","2.8","","","","6.8","6.8493150684931505"
"227","1","CIP308328.48","17.0","2012-03-02","107.0","1.0","6.3","","","","","","","","5.9","","","","16.6","2.35294117647058"
"228","2","CIP308328.48","18.6","2012-03-02","107.0","1.0","5.9","","","","","","","","3.4","","","","18.2","2.1505376344086136"
"229","3","CIP308328.48","15.7","2012-03-02","107.0","1.0","7.2","","","","","","","","4.3","","","","15.4","1.9108280254777004"
"230","4","CIP308328.48","14.8","2012-03-02","107.0","1.0","6.4","","","","","","","","5.2","","","","14.5","2.0270270270270316"
"231","5","CIP308328.48","14.6","2012-02-02","78.0","1.0","5.9","","","","","","","","3.9","","","","14.2","2.739726027397263"
"232","1","CIP308328.161","8.6","2012-02-17","93.0","2.0","4.0","3.5","","","","","","3.5","2.8","2.6","","2.6","8.0","6.976744186046507"
"233","2","CIP308328.161","11.3","2012-02-17","93.0","2.0","4.2","2.5","","","","","","2.5","2.4","2.3","","2.3","10.7","5.309734513274349"
"234","3","CIP308328.161","6.0","2012-02-17","93.0","2.0","4.8","3.5","","","","","","3.5","3.0","2.5","","2.5","5.4","9.999999999999993"
"235","4","CIP308328.161","9.8","2012-02-17","93.0","2.0","4.2","3.8","","","","","","3.8","3.0","2.9","","2.9","8.9","9.183673469387758"
"236","5","CIP308328.161","10.2","2012-01-17","62.0","2.0","5.1","3.9","","","","","","3.9","3.0","2.4","","2.4","9.5","6.862745098039209"
"237","1","CIP308328.28","11.9","2012-01-26","71.0","1.0","4.35","","","","","","","","3.64","","","","11.01","7.478991596638659"
"238","2","CIP308328.28","27.2","2012-01-26","71.0","3.0","6.94","6.94","3.69","","","","","5.315","3.68","4.21","1.88","3.045","25.27","7.095588235294118"
"239","3","CIP308328.28","12.6","2012-01-26","71.0","1.0","4.13","","","","","","","","2.45","","","","11.34","10.0"
"240","4","CIP308328.28","17.8","2012-01-26","71.0","1.0","6.72","","","","","","","","4.22","","","","16.4","7.865168539325855"
"241","5","CIP308328.28","13.5","2012-01-26","71.0","3.0","4.33","3.52","2.42","","","","","2.9699999999999998","1.79","1.79","1.79","1.79","12.28","9.037037037037042"
"242","1","CIP308328.23","19.3","2012-01-27","72.0","1.0","7.4","","","","","","","","4.27","","","","18.44","4.455958549222795"
"243","2","CIP308328.23","11.7","2012-01-27","72.0","1.0","8.98","","","","","","","","1.53","","","","10.81","7.606837606837597"
"244","3","CIP308328.23","15.5","2012-01-27","72.0","1.0","9.61","","","","","","","","3.61","","","","14.12","8.903225806451617"
"245","4","CIP308328.23","13.0","2012-01-27","72.0","2.0","8.82","4.24","","","","","","4.24","2.94","1.66","","1.66","11.85","8.84615384615385"
"246","5","CIP308328.23","20.9","2012-01-27","72.0","2.0","4.97","4.53","","","","","","4.53","1.48","0.89","","0.89","19.34","7.46411483253588"
"247","2","CIP308328.152","2.8","2012-01-26","71.0","1.0","","6.24","","","","","","6.24","","1.69","","1.69","2.49","11.071428571428559"
"248","3","CIP308328.152","3.1","2012-01-26","71.0","1.0","16.21","","","","","","","","0.76","","","","2.61","15.806451612903233"
"249","4","CIP308328.152","4.1","2012-01-26","71.0","1.0","20.770000000000003","","","","","","","","1.08","","","","3.95","3.658536585365841"
"250","5","CIP308328.152","4.0","2012-01-26","71.0","1.0","2.81","","","","","","","","1.22","","","","3.55","11.250000000000004"
"251","1","CIP308328.145","14.0","2012-01-27","72.0","1.0","5.2","","","","","","","","2.0","","","","12.0","14.285714285714285"
"252","2","CIP308328.145","22.0","2012-01-27","72.0","1.0","5.1","","","","","","","","2.8","","","","19.7","10.454545454545459"
"253","3","CIP308328.145","16.7","2012-01-27","72.0","1.0","4.8","","","","","","","","3.0","","","","14.4","13.772455089820355"
"254","4","CIP308328.145","18.1","2012-01-27","72.0","1.0","3.6","","","","","","","","2.8","","","","16.0","11.602209944751388"
"255","5","CIP308328.145","14.0","2012-02-27","103.0","1.0","7.2","","","","","","","","2.4","","","","11.7","16.428571428571434"
"256","1","CIP308328.206","20.9","2012-02-08","84.0","1.0","8.5","","","","","","","","3.5","","","","19.9","4.784688995215311"
"257","2","CIP308328.206","14.7","2012-02-08","84.0","1.0","8.6","","","","","","","","3.0","","","","13.9","5.442176870748292"
"258","3","CIP308328.206","16.2","2012-02-08","84.0","1.0","9.5","","","","","","","","4.0","","","","15.9","1.8518518518518454"
"259","4","CIP308328.206","14.9","2012-02-08","84.0","1.0","7.8","","","","","","","","2.9","","","","14.1","5.369127516778528"
"260","5","CIP308328.206","12.6","2012-01-08","53.0","1.0","6.9","","","","","","","","3.2","","","","11.9","5.55555555555555"
"261","1","CIP308328.62","16.6","2012-01-12","57.0","2.0","6.84","3.51","","","","","","3.51","3.04","3.32","","3.32","15.7","5.421686746987964"
"262","4","CIP308328.62","11.5","2012-01-12","57.0","1.0","6.52","","","","","","","","3.62","","","","10.9","5.217391304347823"
"263","5","CIP308328.62","9.2","2012-02-12","88.0","1.0","8.74","","","","","","","","2.72","","","","8.4","8.695652173913032"
"264","1","CIP308328.5","30.2","2012-02-22","98.0","2.0","11.33","9.31","","","","","","9.31","5.2","3.2","","3.2","30.0","0.6622516556291367"
"265","2","CIP308328.5","27.9","2012-02-22","98.0","2.0","10.46","6.7","","","","","","6.7","3.6","3.5","","3.5","27.5","1.4336917562723963"
"266","3","CIP308328.5","20.0","2012-02-22","98.0","3.0","8.32","8.32","6.87","","","","","7.595000000000001","3.7","3.6","3.5","3.55","19.5","2.5"
"267","4","CIP308328.5","29.2","2012-02-22","98.0","2.0","10.09","8.67","","","","","","8.67","5.3","5.2","","5.2","25.1","14.04109589041095"
"268","5","CIP308328.5","21.7","2012-12-22","402.0","3.0","9.14","7.14","8.32","","","","","7.73","6.5","6.3","6.1","6.199999999999999","19.0","12.442396313364053"
"269","1","CIP308328.6","26.5","2011-12-19","33.0","2.0","30.86","27.61","","","","","","27.61","2.85","1.83","","1.83","26.2","1.1320754716981158"
"270","2","CIP308328.6","20.2","2011-12-19","33.0","1.0","28.62","","","","","","","","1.75","","","","20.2","0.0"
"271","3","CIP308328.6","24.7","2011-12-19","33.0","1.0","18.6","","","","","","","","1.69","","","","24.3","1.6194331983805612"
"272","4","CIP308328.6","20.2","2011-12-19","33.0","1.0","29.75","","","","","","","","3.01","","","","20.0","0.9900990099009866"
"273","5","CIP308328.6","17.4","2011-12-19","33.0","2.0","29.77","21.85","","","","","","21.85","1.38","2.64","","2.64","17.2","1.1494252873563178"
"274","1","CIP308328.180","20.2","2012-01-12","57.0","1.0","11.83","","","","","","","","4.41","","","","19.0","5.940594059405938"
"275","2","CIP308328.180","19.6","2012-01-12","57.0","1.0","15.53","","","","","","","","5.16","","","","18.5","5.612244897959191"
"276","3","CIP308328.180","9.7","2012-01-12","57.0","1.0","6.41","","","","","","","","2.61","","","","9.3","4.123711340206171"
"277","4","CIP308328.180","14.7","2012-01-12","57.0","1.0","9.08","","","","","","","","3.63","","","","14.1","4.081632653061222"
"278","5","CIP308328.180","11.5","2012-01-12","57.0","1.0","9.65","","","","","","","","2.71","","","","10.9","5.217391304347823"
"279","1","CIP308328.220","18.9","2012-01-12","57.0","1.0","14.5","","","","","","","","5.12","","","","17.9","5.291005291005291"
"280","2","CIP308328.220","17.7","2012-01-12","57.0","1.0","11.74","","","","","","","","4.2","","","","16.8","5.084745762711856"
"281","3","CIP308328.220","20.8","2012-01-12","57.0","1.0","11.5","","","","","","","","6.22","","","","19.8","4.8076923076923075"
"282","4","CIP308328.220","20.1","2012-01-12","57.0","1.0","13.12","","","","","","","","3.85","","","","19.2","4.477611940298518"
"283","5","CIP308328.220","18.7","2012-12-12","392.0","1.0","11.62","","","","","","","","4.61","","","","17.8","4.812834224598923"
"284","1","CIP308328.219","4.1","2011-12-22","36.0","1.0","8.05","","","","","","","","3.08","","","","4.1","0.0"
"285","2","CIP308328.219","2.0","2011-12-22","36.0","1.0","7.46","","","","","","","","2.46","","","","1.8","9.999999999999998"
"286","3","CIP308328.219","2.7","2011-12-22","36.0","1.0","9.63","","","","","","","","2.46","","","","2.7","0.0"
"287","4","CIP308328.219","2.4","2011-12-22","36.0","1.0","16.78","","","","","","","","1.55","","","","2.2","8.333333333333323"
"288","5","CIP308328.219","3.0","2011-12-22","36.0","1.0","5.2","","","","","","","","2.1","","","","2.9","3.333333333333336"
"289","1","CIP308328.128","10.0","2012-01-12","57.0","1.0","11.82","","","","","","","","4.4","","","","9.4","5.9999999999999964"
"290","2","CIP308328.128","9.5","2012-01-12","57.0","1.0","18.02","","","","","","","","2.39","","","","9.0","5.263157894736842"
"291","3","CIP308328.128","9.3","2012-01-12","57.0","1.0","11.69","","","","","","","","2.94","","","","8.8","5.376344086021505"
"292","4","CIP308328.128","10.7","2012-01-12","57.0","1.0","13.89","","","","","","","","4.26","","","","9.9","7.476635514018683"
"293","5","CIP308328.128","9.0","2012-01-12","57.0","1.0","12.11","","","","","","","","4.56","","","","8.3","7.77777777777777"
"294","1","CIP308328.133","12.2","2012-01-12","57.0","2.0","4.85","16.44","","","","","","16.44","3.73","3.76","","3.76","11.1","9.016393442622949"
"295","2","CIP308328.133","10.9","2012-01-12","57.0","2.0","7.75","9.26","","","","","","9.26","2.83","3.17","","3.17","10.1","7.339449541284409"
"296","4","CIP308328.133","7.9","2012-01-12","57.0","1.0","14.57","","","","","","","","2.89","","","","7.0","11.392405063291143"
"297","5","CIP308328.133","8.2","2012-01-12","57.0","1.0","8.05","","","","","","","","2.96","","","","7.6","7.317073170731704"
"298","5","CIP308328.54","11.5","2012-01-12","57.0","1.0","5.83","","","","","","","","4.53","","","","10.1","12.173913043478263"
"299","1","CIP308328.12","23.9","2012-01-12","57.0","1.0","10.51","","","","","","","","3.63","","","","22.8","4.602510460251037"
"300","3","CIP308328.12","18.4","2012-01-12","57.0","1.0","10.25","","","","","","","","4.7","","","","17.1","7.0652173913043335"
"301","4","CIP308328.12","24.7","2012-01-12","57.0","1.0","7.14","","","","","","","","3.58","","","","23.7","4.048582995951417"
"302","1","CIP308328.15","23.2","2012-01-27","72.0","1.0","","8.5","","","","","","8.5","","3.5","","3.5","20.6","11.206896551724128"
"303","2","CIP308328.15","20.3","2012-01-27","72.0","1.0","","6.9","","","","","","6.9","","4.0","","4.0","17.7","12.807881773399021"
"304","3","CIP308328.15","21.0","2012-01-27","72.0","3.0","","8.5","6.9","5.8","","","","7.066666666666666","","3.5","3.1","3.3","18.4","12.380952380952388"
"305","4","CIP308328.15","22.1","2012-01-27","72.0","1.0","","7.9","","","","","","7.9","","2.9","","2.9","19.5","11.764705882352947"
"306","5","CIP308328.15","19.4","2012-12-27","407.0","2.0","","6.9","5.8","","","","","6.35","","3.5","3.0","3.25","16.8","13.402061855670095"
"307","1","CIP308328.140","13.3","2011-12-22","36.0","1.0","25.07","","","","","","","","4.86","","","","11.2","15.789473684210536"
"308","2","CIP308328.140","7.0","2011-12-22","36.0","1.0","9.35","","","","","","","","2.32","","","","5.6","20.000000000000004"
"309","4","CIP308328.140","6.2","2011-12-22","36.0","1.0","9.72","","","","","","","","3.0","","","","4.9","20.967741935483865"
"310","1","CIP308328.218","15.8","2012-01-12","57.0","2.0","6.34","2.53","","","","","","2.53","3.55","2.99","","2.99","14.9","5.6962025316455716"
"311","2","CIP308328.218","14.0","2012-01-12","57.0","1.0","8.13","","","","","","","","3.8","","","","13.2","5.71428571428572"
"312","3","CIP308328.218","11.8","2012-01-12","57.0","1.0","7.5","","","","","","","","3.25","","","","10.8","8.47457627118644"
"313","4","CIP308328.218","9.6","2012-01-12","57.0","1.0","4.89","","","","","","","","3.41","","","","8.5","11.45833333333333"
"314","5","CIP308328.218","12.4","2012-02-12","88.0","1.0","5.4","","","","","","","","3.6","","","","11.2","9.677419354838717"
"315","1","CIP308328.156","18.5","2012-02-01","77.0","1.0","9.1","","","","","","","","3.4","","","","17.2","7.02702702702703"
"316","2","CIP308328.156","14.6","2012-02-01","77.0","1.0","8.9","","","","","","","","4.2","","","","14.0","4.109589041095888"
"317","3","CIP308328.156","15.5","2012-02-01","77.0","1.0","7.6","","","","","","","","3.8","","","","13.0","16.129032258064516"
"318","4","CIP308328.156","25.3","2012-02-01","77.0","1.0","6.9","","","","","","","","2.9","","","","23.1","8.695652173913041"
"319","5","CIP308328.156","17.2","2012-01-01","46.0","1.0","6.8","","","","","","","","3.0","","","","16.8","2.3255813953488293"
"320","1","CIP308328.182","26.9","2012-01-12","57.0","2.0","8.5","5.1","","","","","","5.1","3.5","2.5","","2.5","25.7","4.460966542750927"
"321","2","CIP308328.182","26.6","2012-01-12","57.0","2.0","8.3","6.5","","","","","","6.5","4.2","2.1","","2.1","25.4","4.511278195488732"
"322","3","CIP308328.182","22.9","2012-01-12","57.0","1.0","8.6","","","","","","","","3.5","","","","21.2","7.423580786026199"
"323","4","CIP308328.182","13.8","2012-01-12","57.0","1.0","9.5","","","","","","","","3.8","","","","12.7","7.971014492753634"
"324","5","CIP308328.182","13.6","2012-01-12","57.0","1.0","7.5","","","","","","","","3.4","","","","12.5","8.088235294117645"
"325","1","CIP308328.213","25.3","2012-01-12","57.0","1.0","10.9","","","","","","","","2.8","","","","23.4","7.509881422924909"
"326","2","CIP308328.213","26.0","2012-01-12","57.0","1.0","9.1","","","","","","","","3.1","","","","24.1","7.307692307692302"
"327","3","CIP308328.213","16.1","2012-01-12","57.0","1.0","7.8","","","","","","","","3.4","","","","14.2","11.801242236024857"
"328","4","CIP308328.213","12.9","2012-01-12","57.0","1.0","8.5","","","","","","","","2.9","","","","11.0","14.728682170542637"
"329","5","CIP308328.213","18.0","2012-01-12","57.0","1.0","8.9","","","","","","","","3.6","","","","16.4","8.888888888888896"
"330","1","CIP308328.231","8.1","2012-01-27","72.0","1.0","3.52","","","","","","","","1.09","","","","7.47","7.777777777777777"
"331","2","CIP308328.231","5.1","2012-01-27","72.0","1.0","2.84","","","","","","","","1.3","","","","4.58","10.196078431372541"
"332","3","CIP308328.231","5.9","2012-01-27","72.0","1.0","3.45","","","","","","","","1.52","","","","5.39","8.64406779661018"
"333","4","CIP308328.231","6.6","2012-01-27","72.0","1.0","4.08","","","","","","","","1.08","","","","4.83","26.818181818181813"
"334","5","CIP308328.231","4.5","2012-01-27","72.0","3.0","5.15","4.28","5.35","","","","","4.8149999999999995","1.25","0.84","1.34","1.09","3.65","18.888888888888893"
"335","1","CIP308328.147","7.3","2012-01-27","72.0","1.0","5.8","","","","","","","","2.37","","","","6.71","8.082191780821917"
"336","2","CIP308328.147","6.3","2012-01-27","72.0","1.0","5.61","","","","","","","","2.77","","","","5.75","8.730158730158728"
"337","3","CIP308328.147","7.8","2012-01-27","72.0","1.0","2.0","","","","","","","","0.62","","","","7.26","6.923076923076923"
"338","4","CIP308328.147","6.7","2012-01-27","72.0","1.0","4.49","","","","","","","","1.7","","","","6.19","7.611940298507459"
"339","5","CIP308328.147","8.9","2012-03-27","132.0","1.0","6.71","","","","","","","","4.01","","","","8.27","7.078651685393266"
"340","1","CIP308328.122","9.3","2012-03-09","114.0","1.0","3.0","","","","","","","","2.5","","","","8.9","4.3010752688172085"
"341","2","CIP308328.122","3.8","2012-03-09","114.0","1.0","2.5","","","","","","","","2.9","","","","3.5","7.894736842105258"
"342","3","CIP308328.122","5.3","2012-03-09","114.0","1.0","2.0","","","","","","","","2.0","","","","5.0","5.660377358490563"
"343","4","CIP308328.122","13.6","2012-03-09","114.0","1.0","3.1","","","","","","","","3.5","","","","13.1","3.6764705882352944"
"344","5","CIP308328.122","13.1","2012-02-09","85.0","1.0","2.5","","","","","","","","3.4","","","","12.5","4.580152671755722"
"345","1","CIP308328.124","19.3","2012-02-20","96.0","1.0","3.5","","","","","","","","2.9","","","","16.3","15.544041450777202"
"346","2","CIP308328.124","33.1","2012-02-20","96.0","1.0","4.2","","","","","","","","2.8","","","","29.9","9.667673716012093"
"347","3","CIP308328.124","17.1","2012-02-20","96.0","1.0","4.8","","","","","","","","1.9","","","","14.0","18.12865497076024"
"348","4","CIP308328.124","17.9","2012-02-20","96.0","1.0","4.96","","","","","","","","2.0","","","","15.0","16.20111731843575"
"349","5","CIP308328.124","17.7","2012-01-20","65.0","1.0","5.8","","","","","","","","2.7","","","","14.7","16.949152542372882"
